symbol,name,id
'A','Agilent Technologies',8244
'AA','Alcoa Inc',10803
'AACC','Asset Accep Cap Corp',NULL
'AAI','Airtran Hldgs Inc',NULL
'AAII','Alabama Aircraft Ind In',NULL
'AAME','Atlantic Amern Corp',11445
'AAN','Aaron Rents Inc',2480
'AAON','Aaon Inc',938
'AAP','Advanced Auto Parts',90252
'AAPL','Apple Computer Inc',2035
'AATI','Advanced Analogic Te',NULL
'AAWW','Atlas Air Worldwide',84220
'AB','Alliancebernstein Ho',6419
'ABAT','Advanced Battery Tec',24813
'ABAX','Abaxis Inc',11929
'ABBC','Abington Bancorp Inc',NULL
'ABC','Amerisourcebergen Co',86687
'ABCB','Ameris Bancorp',828
'ABCO','Advisory Brd Co',89997
'ABCW','Anchor Bancorp Wis I',6244
'ABD','Acco Brands Corp',NULL
'ABDS','Allegro Biodiesel Co',NULL
'ABFS','Arkansas Best Corp',NULL
'ABG','Asbury Automotive Gr',88928
'ABH.Z','Abitibibowater Inc',88928
'ABII','Abraxis Bioscience Inc',NULL
'ABIO','Arca Biopharma Inc',9177
'ABK','Ambac Finl Group Inc',NULL
'ABL','American Biltrite In',NULL
'ABM','Abm Inds Inc',9929
'ABMC','Amer Bio Medica Corp',1637
'ABMD','Abiomed Inc',4093
'ABR','Arbor Rlty Tr Inc',417497
'ABT','Abbott Labs',5054
'ABTL','Autobytel Com Inc',7069
'ABVA','Alliance Bankshares',NULL
'ACAD','Acadia Pharmaceutica',81806
'ACAP','American Physicians',NULL
'ACAT','Arctic Cat Inc',6923
'ACC','American Campus Cmnt',632472
'ACCL','Accelrys Inc',NULL
'ACET','Aceto Chem Inc',3426
'ACF','Americredit Corp',NULL
'ACFC','Atlantic Coast Fed C',749177
'ACFN','Acorn Factor Inc',3582
'ACGL','Arch Cap Group Ltd',1091
'ACHN','Achillion Pharmaceut',121986
'ACI','Arch Coal Inc',3587
'ACIW','Aci Worldwide Inc',11030
'ACLI','American Commercial Lin',NULL
'ACLS','Axcelis Technologies',75852
'ACM','Aecom Technology Corp D',377815
'ACMR','A C Moore Arts & Cra',NULL
'ACO','Amcol Intl Corp',NULL
'ACOR','Acorda Therapeutics',177789
'ACPW','Active Power Inc',76141
'ACS.Z','Affiliated Computer',76141
'ACTG','Acacia Resh Corp',1231
'ACTI','Actividentity Corp',NULL
'ACTL','Actel Corp',900171
'ACTU','Actuate Software Cor',NULL
'ACU','Acme Utd Corp',3656
'ACUR','Acura Pharmaceuticals I',7738
'ACV','Alberto Culver Co Ne',960186
'ACXM','Acxiom Corp',8772
'ACY','Aerocentury Corp',796
'ADAM','A D A M Inc',NULL
'ADAT','Authentidate Hldg Co',7529
'ADBE','Adobe Sys Inc',10790
'ADC','Agree Realty Corp',9607
'ADCT','A D C Telecommunicat',NULL
'ADEP','Adept Technology Inc',5526
'ADES','Ada Es Inc',850158
'ADG','Allied Defense Group',NULL
'ADGF','Adams Golf Inc',NULL
'ADI','Analog Devices Inc',11545
'ADK','Adcare Health System',208141
'ADLR','Adolor Corp',NULL
'ADLS','Advanced Life Scienc',671915
'ADM','Archer Daniels Midla',10859
'ADMP','Adamis Pharmaceuticals',11907
'ADP','Automatic Data Proce',4969
'ADPI','American Dental Part',NULL
'ADPT','Adaptec Inc',935353
'ADS','Alliance Data System',70958
'ADSK','Autodesk Inc',10270
'ADTN','Adtran Inc',5828
'ADUS','Addus Homecare Corp',808693
'ADVN.B','Advanta Corp',808693
'ADVS','Advent Software Inc',NULL
'AE','Adams Res & Energy I',8589
'AEA','Advance Amer Cash Ad',NULL
'AEC','Associated Estates R',NULL
'AEE','Ameren Corp',2987
'AEHR','Aehr Test Systems',5767
'AEIS','Advanced Energy Inds',6010
'AEL','American Eqty Invt L',62204
'AEN','Adeona Pharmaceuticals',NULL
'AEO','American Eagle Outfi',1498
'AEP','American Elec Pwr In',2135
'AEPI','Aep Inds Inc',3900
'AERG','Applied Energetics Inc',249
'AERO','Aero Grow Intl Inc',665198
'AERT','Advanced Environ Rec',1223
'AES','Aes Corp',9612
'AET','Aetna Inc',3640
'AETI','American Elect Tech Inc',2265
'AEY','Addvantage Media Gro',3691
'AEZ','American Oil & Gas I',NULL
'AF','Astoria Finl Corp',7735
'AFAM','Almost Family Inc',4376
'AFCE','Afc Enterprises Inc',NULL
'AFFM','Affirmative Ins Hldg',627946
'AFFX','Affymetrix Inc',7834
'AFFY','Affymax Inc',150437
'AFG','American Finl Group',42280
'AFL','Aflac Inc',1814
'AFOP','Alliance Fiber Optic',79266
